timestamp,zone_id,energy_kwh,co2_kg,production_units,compressed_air_m3,water_liters,temperature_c,shift,efficiency_score,status,zone_energy_share_%,hour,day_of_week,energy_lag_1h,energy_lag_2h,energy_lag_3h,energy_lag_6h
2025-10-27 06:00:00,ZONE-BATTERY,1450.5,1189.41,21,0.0,0.0,26.5,SHIFT-A,1.0,OPERATIONAL,10.88,6,0,1282.96,1366.18,1472.57,1459.39
2025-10-27 07:00:00,ZONE-BATTERY,1287.28,1055.57,17,0.0,0.0,26.5,SHIFT-A,1.0,OPERATIONAL,10.88,7,0,1450.5,1282.96,1366.18,711.67
2025-10-27 08:00:00,ZONE-BATTERY,916.34,751.4,17,0.0,0.0,25.8,SHIFT-B,1.0,OPERATIONAL,10.88,8,0,1287.28,1450.5,1282.96,790.21
2025-10-27 09:00:00,ZONE-BATTERY,897.52,735.97,23,0.0,0.0,25.9,SHIFT-B,1.0,OPERATIONAL,10.88,9,0,916.34,1287.28,1450.5,1472.57
2025-10-27 10:00:00,ZONE-BATTERY,1147.35,940.83,22,0.0,0.0,18.6,SHIFT-B,1.0,OPERATIONAL,10.88,10,0,897.52,916.34,1287.28,1366.18
2025-10-27 11:00:00,ZONE-BATTERY,1037.48,850.73,17,0.0,0.0,27.2,SHIFT-B,1.0,OPERATIONAL,10.88,11,0,1147.35,897.52,916.34,1282.96
2025-10-27 12:00:00,ZONE-BATTERY,837.09,686.41,24,0.0,0.0,18.3,SHIFT-B,1.0,OPERATIONAL,10.88,12,0,1037.48,1147.35,897.52,1450.5
2025-10-27 13:00:00,ZONE-BATTERY,1304.54,1069.72,29,0.0,0.0,27.7,SHIFT-B,1.0,OPERATIONAL,10.88,13,0,837.09,1037.48,1147.35,1287.28
2025-10-27 14:00:00,ZONE-BATTERY,1181.9,969.16,20,0.0,0.0,22.7,SHIFT-B,1.0,OPERATIONAL,10.88,14,0,1304.54,837.09,1037.48,916.34
2025-10-27 15:00:00,ZONE-BATTERY,809.33,663.65,20,0.0,0.0,19.2,SHIFT-B,1.0,OPERATIONAL,10.88,15,0,1181.9,1304.54,837.09,897.52
2025-10-27 16:00:00,ZONE-BATTERY,1338.09,1097.24,3,0.0,0.0,18.4,SHIFT-C,1.0,OPERATIONAL,10.88,16,0,809.33,1181.9,1304.54,1147.35
2025-10-27 17:00:00,ZONE-BATTERY,720.57,590.87,5,0.0,0.0,18.5,SHIFT-C,1.0,OPERATIONAL,10.88,17,0,1338.09,809.33,1181.9,1037.48
2025-10-27 18:00:00,ZONE-BATTERY,1232.6,1010.74,0,0.0,0.0,20.0,SHIFT-C,0.97,STANDBY,10.88,18,0,720.57,1338.09,809.33,837.09
2025-10-27 19:00:00,ZONE-BATTERY,709.35,581.67,8,0.0,0.0,22.3,SHIFT-C,1.0,OPERATIONAL,10.88,19,0,1232.6,720.57,1338.09,1304.54
2025-10-27 20:00:00,ZONE-BATTERY,1272.6,1043.53,1,0.0,0.0,26.3,SHIFT-C,0.94,OPERATIONAL,10.88,20,0,709.35,1232.6,720.57,1181.9
2025-10-27 21:00:00,ZONE-BATTERY,826.62,677.82,1,0.0,0.0,27.5,SHIFT-C,1.0,OPERATIONAL,10.88,21,0,1272.6,709.35,1232.6,809.33
2025-10-27 22:00:00,ZONE-BATTERY,1294.84,1061.77,4,0.0,0.0,19.1,SHIFT-C,1.0,OPERATIONAL,10.88,22,0,826.62,1272.6,709.35,1338.09
2025-10-27 23:00:00,ZONE-BATTERY,1354.59,1110.76,7,0.0,0.0,24.6,SHIFT-C,1.0,OPERATIONAL,10.88,23,0,1294.84,826.62,1272.6,720.57
2025-10-28 00:00:00,ZONE-BATTERY,825.19,676.66,16,0.0,0.0,26.8,SHIFT-A,1.0,OPERATIONAL,10.88,0,1,1354.59,1294.84,826.62,1232.6
2025-10-28 01:00:00,ZONE-BATTERY,937.95,769.12,28,0.0,0.0,23.1,SHIFT-A,1.0,OPERATIONAL,10.88,1,1,825.19,1354.59,1294.84,709.35
2025-10-28 02:00:00,ZONE-BATTERY,1395.18,1144.04,25,0.0,0.0,21.0,SHIFT-A,1.0,OPERATIONAL,10.88,2,1,937.95,825.19,1354.59,1272.6
2025-10-28 03:00:00,ZONE-BATTERY,860.98,706.0,25,0.0,0.0,27.1,SHIFT-A,1.0,OPERATIONAL,10.88,3,1,1395.18,937.95,825.19,826.62
2025-10-28 04:00:00,ZONE-BATTERY,1244.66,1020.62,19,0.0,0.0,21.8,SHIFT-A,1.0,OPERATIONAL,10.88,4,1,860.98,1395.18,937.95,1294.84
2025-10-28 05:00:00,ZONE-BATTERY,1012.2,830.0,28,0.0,0.0,24.7,SHIFT-A,1.0,OPERATIONAL,10.88,5,1,1244.66,860.98,1395.18,1354.59
2025-10-28 06:00:00,ZONE-BATTERY,1418.49,1163.16,18,0.0,0.0,27.8,SHIFT-A,1.0,OPERATIONAL,10.88,6,1,1012.2,1244.66,860.98,825.19
2025-10-28 07:00:00,ZONE-BATTERY,896.89,735.45,19,0.0,0.0,23.6,SHIFT-A,1.0,OPERATIONAL,10.88,7,1,1418.49,1012.2,1244.66,937.95
2025-10-28 08:00:00,ZONE-BATTERY,1434.29,1176.11,24,0.0,0.0,24.0,SHIFT-B,1.0,OPERATIONAL,10.88,8,1,896.89,1418.49,1012.2,1395.18
2025-10-28 09:00:00,ZONE-BATTERY,978.13,802.07,19,0.0,0.0,19.5,SHIFT-B,1.0,OPERATIONAL,10.88,9,1,1434.29,896.89,1418.49,860.98
2025-10-28 10:00:00,ZONE-BATTERY,1499.56,1229.64,21,0.0,0.0,26.5,SHIFT-B,1.0,OPERATIONAL,10.88,10,1,978.13,1434.29,896.89,1244.66
2025-10-28 11:00:00,ZONE-BATTERY,1318.72,1081.35,30,0.0,0.0,18.8,SHIFT-B,1.0,OPERATIONAL,10.88,11,1,1499.56,978.13,1434.29,1012.2
2025-10-28 12:00:00,ZONE-BATTERY,1130.55,927.05,24,0.0,0.0,20.1,SHIFT-B,1.0,OPERATIONAL,10.88,12,1,1318.72,1499.56,978.13,1418.49
2025-10-28 13:00:00,ZONE-BATTERY,997.5,817.95,24,0.0,0.0,21.2,SHIFT-B,1.0,OPERATIONAL,10.88,13,1,1130.55,1318.72,1499.56,896.89
2025-10-28 14:00:00,ZONE-BATTERY,922.34,756.32,24,0.0,0.0,27.3,SHIFT-B,1.0,OPERATIONAL,10.88,14,1,997.5,1130.55,1318.72,1434.29
2025-10-28 15:00:00,ZONE-BATTERY,1261.58,1034.5,16,0.0,0.0,26.0,SHIFT-B,1.0,OPERATIONAL,10.88,15,1,922.34,997.5,1130.55,978.13
2025-10-28 16:00:00,ZONE-BATTERY,1025.41,840.83,4,0.0,0.0,26.7,SHIFT-C,1.0,OPERATIONAL,10.88,16,1,1261.58,922.34,997.5,1499.56
2025-10-28 17:00:00,ZONE-BATTERY,1324.72,1086.27,7,0.0,0.0,24.7,SHIFT-C,1.0,OPERATIONAL,10.88,17,1,1025.41,1261.58,922.34,1318.72
2025-10-28 18:00:00,ZONE-BATTERY,1413.53,1159.09,7,0.0,0.0,27.3,SHIFT-C,1.0,OPERATIONAL,10.88,18,1,1324.72,1025.41,1261.58,1130.55
2025-10-28 19:00:00,ZONE-BATTERY,951.53,780.26,3,0.0,0.0,27.2,SHIFT-C,1.0,OPERATIONAL,10.88,19,1,1413.53,1324.72,1025.41,997.5
2025-10-28 20:00:00,ZONE-BATTERY,1104.53,905.71,7,0.0,0.0,19.0,SHIFT-C,1.0,OPERATIONAL,10.88,20,1,951.53,1413.53,1324.72,922.34
2025-10-28 21:00:00,ZONE-BATTERY,1429.99,1172.59,6,0.0,0.0,26.7,SHIFT-C,1.0,OPERATIONAL,10.88,21,1,1104.53,951.53,1413.53,1261.58
2025-10-28 22:00:00,ZONE-BATTERY,1116.59,915.6,8,0.0,0.0,18.5,SHIFT-C,1.0,OPERATIONAL,10.88,22,1,1429.99,1104.53,951.53,1025.41
2025-10-28 23:00:00,ZONE-BATTERY,1205.82,988.77,7,0.0,0.0,25.9,SHIFT-C,1.0,OPERATIONAL,10.88,23,1,1116.59,1429.99,1104.53,1324.72
2025-10-29 00:00:00,ZONE-BATTERY,1101.99,903.63,26,0.0,0.0,18.8,SHIFT-A,1.0,OPERATIONAL,10.88,0,2,1205.82,1116.59,1429.99,1413.53
2025-10-29 01:00:00,ZONE-BATTERY,1449.16,1188.31,23,0.0,0.0,23.0,SHIFT-A,1.0,OPERATIONAL,10.88,1,2,1101.99,1205.82,1116.59,951.53
2025-10-29 02:00:00,ZONE-BATTERY,961.95,788.8,21,0.0,0.0,27.4,SHIFT-A,1.0,OPERATIONAL,10.88,2,2,1449.16,1101.99,1205.82,1104.53
2025-10-29 03:00:00,ZONE-BATTERY,1081.67,886.97,18,0.0,0.0,18.6,SHIFT-A,1.0,OPERATIONAL,10.88,3,2,961.95,1449.16,1101.99,1429.99
