timestamp,zone_id,energy_kwh,co2_kg,production_units,compressed_air_m3,water_liters,temperature_c,shift,efficiency_score,status,zone_energy_share_%,hour,day_of_week,energy_lag_1h,energy_lag_2h,energy_lag_3h,energy_lag_6h
2025-10-27 06:00:00,ZONE-BODY-SHOP,2133.58,1749.54,20,1082.81,0.0,22.8,SHIFT-A,1.0,OPERATIONAL,17.18,6,0,1807.71,2353.09,2256.81,2216.99
2025-10-27 07:00:00,ZONE-BODY-SHOP,1248.24,1023.55,16,556.76,0.0,20.1,SHIFT-A,1.0,OPERATIONAL,17.18,7,0,2133.58,1807.71,2353.09,2333.29
2025-10-27 08:00:00,ZONE-BODY-SHOP,2307.33,1892.01,20,1125.1,0.0,18.6,SHIFT-B,1.0,OPERATIONAL,17.18,8,0,1248.24,2133.58,1807.71,1621.63
2025-10-27 09:00:00,ZONE-BODY-SHOP,1586.67,1301.07,24,1737.25,0.0,27.1,SHIFT-B,1.0,OPERATIONAL,17.18,9,0,2307.33,1248.24,2133.58,2256.81
2025-10-27 10:00:00,ZONE-BODY-SHOP,1707.44,1400.1,19,1963.72,0.0,23.8,SHIFT-B,1.0,OPERATIONAL,17.18,10,0,1586.67,2307.33,1248.24,2353.09
2025-10-27 11:00:00,ZONE-BODY-SHOP,1162.14,952.95,26,617.05,0.0,27.7,SHIFT-B,1.0,OPERATIONAL,17.18,11,0,1707.44,1586.67,2307.33,1807.71
2025-10-27 12:00:00,ZONE-BODY-SHOP,1383.63,1134.58,23,535.23,0.0,25.3,SHIFT-B,1.0,OPERATIONAL,17.18,12,0,1162.14,1707.44,1586.67,2133.58
2025-10-27 13:00:00,ZONE-BODY-SHOP,2289.06,1877.03,17,1860.62,0.0,21.5,SHIFT-B,1.0,OPERATIONAL,17.18,13,0,1383.63,1162.14,1707.44,1248.24
2025-10-27 14:00:00,ZONE-BODY-SHOP,1404.04,1151.32,16,1388.92,0.0,21.3,SHIFT-B,1.0,OPERATIONAL,17.18,14,0,2289.06,1383.63,1162.14,2307.33
2025-10-27 15:00:00,ZONE-BODY-SHOP,1595.16,1308.03,29,1669.63,0.0,25.3,SHIFT-B,1.0,OPERATIONAL,17.18,15,0,1404.04,2289.06,1383.63,1586.67
2025-10-27 16:00:00,ZONE-BODY-SHOP,1621.15,1329.34,5,735.7,0.0,21.2,SHIFT-C,1.0,OPERATIONAL,17.18,16,0,1595.16,1404.04,2289.06,1707.44
2025-10-27 17:00:00,ZONE-BODY-SHOP,1873.88,1536.58,3,1191.39,0.0,19.8,SHIFT-C,1.0,OPERATIONAL,17.18,17,0,1621.15,1595.16,1404.04,1162.14
2025-10-27 18:00:00,ZONE-BODY-SHOP,1451.52,1190.25,2,1864.91,0.0,23.0,SHIFT-C,1.0,OPERATIONAL,17.18,18,0,1873.88,1621.15,1595.16,1383.63
2025-10-27 19:00:00,ZONE-BODY-SHOP,2259.56,1852.84,10,1097.41,0.0,18.5,SHIFT-C,1.0,OPERATIONAL,17.18,19,0,1451.52,1873.88,1621.15,2289.06
2025-10-27 20:00:00,ZONE-BODY-SHOP,1015.2,832.46,6,1081.87,0.0,23.3,SHIFT-C,1.0,OPERATIONAL,17.18,20,0,2259.56,1451.52,1873.88,1404.04
2025-10-27 21:00:00,ZONE-BODY-SHOP,2455.31,2013.36,1,680.81,0.0,26.2,SHIFT-C,0.49,OPERATIONAL,17.18,21,0,1015.2,2259.56,1451.52,1595.16
2025-10-27 22:00:00,ZONE-BODY-SHOP,1572.9,1289.78,5,1595.11,0.0,19.0,SHIFT-C,1.0,OPERATIONAL,17.18,22,0,2455.31,1015.2,2259.56,1621.15
2025-10-27 23:00:00,ZONE-BODY-SHOP,1389.13,1139.09,8,1223.64,0.0,27.6,SHIFT-C,1.0,OPERATIONAL,17.18,23,0,1572.9,2455.31,1015.2,1873.88
2025-10-28 00:00:00,ZONE-BODY-SHOP,1618.09,1326.83,18,814.16,0.0,21.7,SHIFT-A,1.0,OPERATIONAL,17.18,0,1,1389.13,1572.9,2455.31,1451.52
2025-10-28 01:00:00,ZONE-BODY-SHOP,2443.85,2003.96,27,1001.45,0.0,18.2,SHIFT-A,1.0,OPERATIONAL,17.18,1,1,1618.09,1389.13,1572.9,2259.56
2025-10-28 02:00:00,ZONE-BODY-SHOP,1226.88,1006.04,22,604.16,0.0,18.7,SHIFT-A,1.0,OPERATIONAL,17.18,2,1,2443.85,1618.09,1389.13,1015.2
2025-10-28 03:00:00,ZONE-BODY-SHOP,2420.44,1984.76,30,1855.48,0.0,21.4,SHIFT-A,1.0,OPERATIONAL,17.18,3,1,1226.88,2443.85,1618.09,2455.31
2025-10-28 04:00:00,ZONE-BODY-SHOP,1906.74,1563.53,18,1004.14,0.0,21.6,SHIFT-A,1.0,OPERATIONAL,17.18,4,1,2420.44,1226.88,2443.85,1572.9
2025-10-28 05:00:00,ZONE-BODY-SHOP,1308.29,1072.8,23,1284.16,0.0,26.4,SHIFT-A,1.0,OPERATIONAL,17.18,5,1,1906.74,2420.44,1226.88,1389.13
2025-10-28 06:00:00,ZONE-BODY-SHOP,1506.2,1235.09,16,1132.42,0.0,23.4,SHIFT-A,1.0,OPERATIONAL,17.18,6,1,1308.29,1906.74,2420.44,1618.09
2025-10-28 07:00:00,ZONE-BODY-SHOP,1443.44,1183.62,20,1916.34,0.0,21.6,SHIFT-A,1.0,OPERATIONAL,17.18,7,1,1506.2,1308.29,1906.74,2443.85
2025-10-28 08:00:00,ZONE-BODY-SHOP,1549.33,1270.45,19,1768.08,0.0,18.9,SHIFT-B,1.0,OPERATIONAL,17.18,8,1,1443.44,1506.2,1308.29,1226.88
2025-10-28 09:00:00,ZONE-BODY-SHOP,1969.05,1614.62,24,535.44,0.0,19.2,SHIFT-B,1.0,OPERATIONAL,17.18,9,1,1549.33,1443.44,1506.2,2420.44
2025-10-28 10:00:00,ZONE-BODY-SHOP,1370.91,1124.15,16,1473.18,0.0,18.3,SHIFT-B,1.0,OPERATIONAL,17.18,10,1,1969.05,1549.33,1443.44,1906.74
2025-10-28 11:00:00,ZONE-BODY-SHOP,1752.35,1436.93,27,1472.89,0.0,21.2,SHIFT-B,1.0,OPERATIONAL,17.18,11,1,1370.91,1969.05,1549.33,1308.29
2025-10-28 12:00:00,ZONE-BODY-SHOP,1772.25,1453.24,25,818.2,0.0,21.8,SHIFT-B,1.0,OPERATIONAL,17.18,12,1,1752.35,1370.91,1969.05,1506.2
2025-10-28 13:00:00,ZONE-BODY-SHOP,2111.66,1731.56,17,1709.43,0.0,25.8,SHIFT-B,1.0,OPERATIONAL,17.18,13,1,1772.25,1752.35,1370.91,1443.44
2025-10-28 14:00:00,ZONE-BODY-SHOP,1237.78,1014.98,19,977.02,0.0,22.0,SHIFT-B,1.0,OPERATIONAL,17.18,14,1,2111.66,1772.25,1752.35,1549.33
2025-10-28 15:00:00,ZONE-BODY-SHOP,1972.7,1617.61,30,892.9,0.0,25.4,SHIFT-B,1.0,OPERATIONAL,17.18,15,1,1237.78,2111.66,1772.25,1969.05
2025-10-28 16:00:00,ZONE-BODY-SHOP,2209.96,1812.17,2,1681.58,0.0,23.9,SHIFT-C,1.0,OPERATIONAL,17.18,16,1,1972.7,1237.78,2111.66,1370.91
2025-10-28 17:00:00,ZONE-BODY-SHOP,1792.98,1470.24,6,1746.37,0.0,18.2,SHIFT-C,1.0,OPERATIONAL,17.18,17,1,2209.96,1972.7,1237.78,1752.35
2025-10-28 18:00:00,ZONE-BODY-SHOP,1228.61,1007.46,7,1375.35,0.0,26.1,SHIFT-C,1.0,OPERATIONAL,17.18,18,1,1792.98,2209.96,1972.7,1772.25
2025-10-28 19:00:00,ZONE-BODY-SHOP,1817.66,1490.48,8,1326.14,0.0,24.1,SHIFT-C,1.0,OPERATIONAL,17.18,19,1,1228.61,1792.98,2209.96,2111.66
2025-10-28 20:00:00,ZONE-BODY-SHOP,2488.61,2040.66,0,1206.25,0.0,23.5,SHIFT-C,0.48,STANDBY,17.18,20,1,1817.66,1228.61,1792.98,1237.78
2025-10-28 21:00:00,ZONE-BODY-SHOP,2405.65,1972.64,10,1028.96,0.0,20.1,SHIFT-C,1.0,OPERATIONAL,17.18,21,1,2488.61,1817.66,1228.61,1972.7
2025-10-28 22:00:00,ZONE-BODY-SHOP,1750.82,1435.67,1,1947.68,0.0,18.0,SHIFT-C,0.69,OPERATIONAL,17.18,22,1,2405.65,2488.61,1817.66,2209.96
2025-10-28 23:00:00,ZONE-BODY-SHOP,1582.36,1297.53,4,1054.67,0.0,23.9,SHIFT-C,1.0,OPERATIONAL,17.18,23,1,1750.82,2405.65,2488.61,1792.98
2025-10-29 00:00:00,ZONE-BODY-SHOP,1047.49,858.94,18,780.16,0.0,18.1,SHIFT-A,1.0,OPERATIONAL,17.18,0,2,1582.36,1750.82,2405.65,1228.61
2025-10-29 01:00:00,ZONE-BODY-SHOP,2338.21,1917.33,17,1028.76,0.0,27.0,SHIFT-A,1.0,OPERATIONAL,17.18,1,2,1047.49,1582.36,1750.82,1817.66
2025-10-29 02:00:00,ZONE-BODY-SHOP,2240.69,1837.37,18,554.06,0.0,28.0,SHIFT-A,1.0,OPERATIONAL,17.18,2,2,2338.21,1047.49,1582.36,2488.61
2025-10-29 03:00:00,ZONE-BODY-SHOP,1778.94,1458.73,21,1781.58,0.0,24.2,SHIFT-A,1.0,OPERATIONAL,17.18,3,2,2240.69,2338.21,1047.49,2405.65
2025-10-29 04:00:00,ZONE-BODY-SHOP,1007.86,826.44,26,873.71,0.0,22.5,SHIFT-A,1.0,OPERATIONAL,17.18,4,2,1778.94,2240.69,2338.21,1750.82
