timestamp,zone_id,energy_kwh,co2_kg,production_units,compressed_air_m3,water_liters,temperature_c,shift,efficiency_score,status,zone_energy_share_%,hour,day_of_week,energy_lag_1h,energy_lag_2h,energy_lag_3h,energy_lag_6h
2025-10-27 06:00:00,ZONE-CASTING,2517.83,2064.62,28,0.0,237.6,175.7,SHIFT-A,1.0,OPERATIONAL,21.48,6,0,1760.25,2243.82,2680.27,2410.87
2025-10-27 07:00:00,ZONE-CASTING,1590.94,1304.57,29,0.0,325.48,299.2,SHIFT-A,1.0,OPERATIONAL,21.48,7,0,2517.83,1760.25,2243.82,2840.9
2025-10-27 08:00:00,ZONE-CASTING,2958.99,2426.37,22,0.0,709.25,189.2,SHIFT-B,1.0,OPERATIONAL,21.48,8,0,1590.94,2517.83,1760.25,2701.47
2025-10-27 09:00:00,ZONE-CASTING,1997.72,1638.13,15,0.0,661.49,200.0,SHIFT-B,1.0,OPERATIONAL,21.48,9,0,2958.99,1590.94,2517.83,2680.27
2025-10-27 10:00:00,ZONE-CASTING,2981.81,2445.08,25,0.0,479.41,161.6,SHIFT-B,1.0,OPERATIONAL,21.48,10,0,1997.72,2958.99,1590.94,2243.82
2025-10-27 11:00:00,ZONE-CASTING,2250.42,1845.34,28,0.0,300.88,260.2,SHIFT-B,1.0,OPERATIONAL,21.48,11,0,2981.81,1997.72,2958.99,1760.25
2025-10-27 12:00:00,ZONE-CASTING,2152.9,1765.37,26,0.0,459.62,242.6,SHIFT-B,1.0,OPERATIONAL,21.48,12,0,2250.42,2981.81,1997.72,2517.83
2025-10-27 13:00:00,ZONE-CASTING,2149.84,1762.87,21,0.0,412.17,261.7,SHIFT-B,1.0,OPERATIONAL,21.48,13,0,2152.9,2250.42,2981.81,1590.94
2025-10-27 14:00:00,ZONE-CASTING,2978.83,2442.64,20,0.0,695.84,249.3,SHIFT-B,1.0,OPERATIONAL,21.48,14,0,2149.84,2152.9,2250.42,2958.99
2025-10-27 15:00:00,ZONE-CASTING,1560.67,1279.75,23,0.0,616.67,103.7,SHIFT-B,1.0,OPERATIONAL,21.48,15,0,2978.83,2149.84,2152.9,1997.72
2025-10-27 16:00:00,ZONE-CASTING,1893.45,1552.63,5,0.0,615.7,267.0,SHIFT-C,1.0,OPERATIONAL,21.48,16,0,1560.67,2978.83,2149.84,2981.81
2025-10-27 17:00:00,ZONE-CASTING,1653.77,1356.09,2,0.0,473.58,122.2,SHIFT-C,1.0,OPERATIONAL,21.48,17,0,1893.45,1560.67,2978.83,2250.42
2025-10-27 18:00:00,ZONE-CASTING,1960.49,1607.6,7,0.0,337.34,187.8,SHIFT-C,1.0,OPERATIONAL,21.48,18,0,1653.77,1893.45,1560.67,2152.9
2025-10-27 19:00:00,ZONE-CASTING,1905.97,1562.9,5,0.0,729.81,218.9,SHIFT-C,1.0,OPERATIONAL,21.48,19,0,1960.49,1653.77,1893.45,2149.84
2025-10-27 20:00:00,ZONE-CASTING,1643.71,1347.84,2,0.0,207.67,198.5,SHIFT-C,1.0,OPERATIONAL,21.48,20,0,1905.97,1960.49,1653.77,2978.83
2025-10-27 21:00:00,ZONE-CASTING,2959.37,2426.69,3,0.0,206.16,182.6,SHIFT-C,1.0,OPERATIONAL,21.48,21,0,1643.71,1905.97,1960.49,1560.67
2025-10-27 22:00:00,ZONE-CASTING,2563.72,2102.25,9,0.0,336.17,190.5,SHIFT-C,1.0,OPERATIONAL,21.48,22,0,2959.37,1643.71,1905.97,1893.45
2025-10-27 23:00:00,ZONE-CASTING,2955.75,2423.72,9,0.0,337.71,297.4,SHIFT-C,1.0,OPERATIONAL,21.48,23,0,2563.72,2959.37,1643.71,1653.77
2025-10-28 00:00:00,ZONE-CASTING,2561.85,2100.72,15,0.0,408.0,167.7,SHIFT-A,1.0,OPERATIONAL,21.48,0,1,2955.75,2563.72,2959.37,1960.49
2025-10-28 01:00:00,ZONE-CASTING,2423.73,1987.46,27,0.0,741.29,219.6,SHIFT-A,1.0,OPERATIONAL,21.48,1,1,2561.85,2955.75,2563.72,1905.97
2025-10-28 02:00:00,ZONE-CASTING,2916.88,2391.84,26,0.0,713.39,204.1,SHIFT-A,1.0,OPERATIONAL,21.48,2,1,2423.73,2561.85,2955.75,1643.71
2025-10-28 03:00:00,ZONE-CASTING,1963.66,1610.2,17,0.0,265.87,284.7,SHIFT-A,1.0,OPERATIONAL,21.48,3,1,2916.88,2423.73,2561.85,2959.37
2025-10-28 04:00:00,ZONE-CASTING,2247.42,1842.89,29,0.0,241.15,218.4,SHIFT-A,1.0,OPERATIONAL,21.48,4,1,1963.66,2916.88,2423.73,2563.72
2025-10-28 05:00:00,ZONE-CASTING,2643.25,2167.46,20,0.0,229.73,146.3,SHIFT-A,1.0,OPERATIONAL,21.48,5,1,2247.42,1963.66,2916.88,2955.75
2025-10-28 06:00:00,ZONE-CASTING,1545.87,1267.61,22,0.0,657.86,261.8,SHIFT-A,1.0,OPERATIONAL,21.48,6,1,2643.25,2247.42,1963.66,2561.85
2025-10-28 07:00:00,ZONE-CASTING,1650.92,1353.75,27,0.0,296.84,195.1,SHIFT-A,1.0,OPERATIONAL,21.48,7,1,1545.87,2643.25,2247.42,2423.73
2025-10-28 08:00:00,ZONE-CASTING,2799.37,2295.49,22,0.0,329.09,192.0,SHIFT-B,1.0,OPERATIONAL,21.48,8,1,1650.92,1545.87,2643.25,2916.88
2025-10-28 09:00:00,ZONE-CASTING,2751.46,2256.2,26,0.0,394.45,223.0,SHIFT-B,1.0,OPERATIONAL,21.48,9,1,2799.37,1650.92,1545.87,1963.66
2025-10-28 10:00:00,ZONE-CASTING,2367.49,1941.34,17,0.0,544.35,169.1,SHIFT-B,1.0,OPERATIONAL,21.48,10,1,2751.46,2799.37,1650.92,2247.42
2025-10-28 11:00:00,ZONE-CASTING,2850.25,2337.21,17,0.0,351.87,199.7,SHIFT-B,1.0,OPERATIONAL,21.48,11,1,2367.49,2751.46,2799.37,2643.25
2025-10-28 12:00:00,ZONE-CASTING,1819.4,1491.91,20,0.0,685.45,190.9,SHIFT-B,1.0,OPERATIONAL,21.48,12,1,2850.25,2367.49,2751.46,1545.87
2025-10-28 13:00:00,ZONE-CASTING,1674.64,1373.21,24,0.0,287.6,150.5,SHIFT-B,1.0,OPERATIONAL,21.48,13,1,1819.4,2850.25,2367.49,1650.92
2025-10-28 14:00:00,ZONE-CASTING,2334.59,1914.36,18,0.0,432.46,182.6,SHIFT-B,1.0,OPERATIONAL,21.48,14,1,1674.64,1819.4,2850.25,2799.37
2025-10-28 15:00:00,ZONE-CASTING,2473.87,2028.57,21,0.0,307.85,136.7,SHIFT-B,1.0,OPERATIONAL,21.48,15,1,2334.59,1674.64,1819.4,2751.46
2025-10-28 16:00:00,ZONE-CASTING,2015.63,1652.81,0,0.0,206.38,100.7,SHIFT-C,0.6,STANDBY,21.48,16,1,2473.87,2334.59,1674.64,2367.49
2025-10-28 17:00:00,ZONE-CASTING,2146.25,1759.92,8,0.0,352.63,249.7,SHIFT-C,1.0,OPERATIONAL,21.48,17,1,2015.63,2473.87,2334.59,2850.25
2025-10-28 18:00:00,ZONE-CASTING,2524.61,2070.18,6,0.0,792.09,134.2,SHIFT-C,1.0,OPERATIONAL,21.48,18,1,2146.25,2015.63,2473.87,1819.4
2025-10-28 19:00:00,ZONE-CASTING,2479.28,2033.01,10,0.0,510.21,188.2,SHIFT-C,1.0,OPERATIONAL,21.48,19,1,2524.61,2146.25,2015.63,1674.64
2025-10-28 20:00:00,ZONE-CASTING,2814.3,2307.72,8,0.0,417.5,157.4,SHIFT-C,1.0,OPERATIONAL,21.48,20,1,2479.28,2524.61,2146.25,2334.59
2025-10-28 21:00:00,ZONE-CASTING,2313.44,1897.02,3,0.0,589.2,285.3,SHIFT-C,1.0,OPERATIONAL,21.48,21,1,2814.3,2479.28,2524.61,2473.87
2025-10-28 22:00:00,ZONE-CASTING,2945.35,2415.19,1,0.0,798.07,224.8,SHIFT-C,0.41,OPERATIONAL,21.48,22,1,2313.44,2814.3,2479.28,2015.63
2025-10-28 23:00:00,ZONE-CASTING,2840.13,2328.91,3,0.0,390.54,242.3,SHIFT-C,1.0,OPERATIONAL,21.48,23,1,2945.35,2313.44,2814.3,2146.25
2025-10-29 00:00:00,ZONE-CASTING,1989.34,1631.26,16,0.0,455.09,278.3,SHIFT-A,1.0,OPERATIONAL,21.48,0,2,2840.13,2945.35,2313.44,2524.61
2025-10-29 01:00:00,ZONE-CASTING,2904.98,2382.08,28,0.0,779.29,234.9,SHIFT-A,1.0,OPERATIONAL,21.48,1,2,1989.34,2840.13,2945.35,2479.28
