timestamp,zone_id,energy_kwh,co2_kg,production_units,compressed_air_m3,water_liters,temperature_c,shift,efficiency_score,status,zone_energy_share_%,hour,day_of_week,energy_lag_1h,energy_lag_2h,energy_lag_3h,energy_lag_6h
2025-10-27 06:00:00,ZONE-PAINT-SHOP,2653.66,2176.0,27,1989.71,608.73,89.0,SHIFT-A,1.0,OPERATIONAL,30.68,6,0,3970.78,3765.47,3244.07,3890.28
2025-10-27 07:00:00,ZONE-PAINT-SHOP,2939.63,2410.5,16,1048.44,202.97,97.5,SHIFT-A,1.0,OPERATIONAL,30.68,7,0,2653.66,3970.78,3765.47,2507.43
2025-10-27 08:00:00,ZONE-PAINT-SHOP,2183.51,1790.48,17,1746.06,713.03,123.8,SHIFT-B,1.0,OPERATIONAL,30.68,8,0,2939.63,2653.66,3970.78,2889.88
2025-10-27 09:00:00,ZONE-PAINT-SHOP,3049.04,2500.21,23,1500.58,593.46,62.2,SHIFT-B,1.0,OPERATIONAL,30.68,9,0,2183.51,2939.63,2653.66,3244.07
2025-10-27 10:00:00,ZONE-PAINT-SHOP,3439.88,2820.7,26,1212.14,304.88,65.6,SHIFT-B,1.0,OPERATIONAL,30.68,10,0,3049.04,2183.51,2939.63,3765.47
2025-10-27 11:00:00,ZONE-PAINT-SHOP,3663.23,3003.85,16,1015.16,638.63,76.2,SHIFT-B,1.0,OPERATIONAL,30.68,11,0,3439.88,3049.04,2183.51,3970.78
2025-10-27 12:00:00,ZONE-PAINT-SHOP,3280.74,2690.21,27,783.98,349.46,153.7,SHIFT-B,1.0,OPERATIONAL,30.68,12,0,3663.23,3439.88,3049.04,2653.66
2025-10-27 13:00:00,ZONE-PAINT-SHOP,2268.59,1860.24,19,935.43,507.87,94.8,SHIFT-B,1.0,OPERATIONAL,30.68,13,0,3280.74,3663.23,3439.88,2939.63
2025-10-27 14:00:00,ZONE-PAINT-SHOP,2236.29,1833.76,25,506.58,683.8,80.8,SHIFT-B,1.0,OPERATIONAL,30.68,14,0,2268.59,3280.74,3663.23,2183.51
2025-10-27 15:00:00,ZONE-PAINT-SHOP,2186.14,1792.63,28,1113.78,774.24,148.6,SHIFT-B,1.0,OPERATIONAL,30.68,15,0,2236.29,2268.59,3280.74,3049.04
2025-10-27 16:00:00,ZONE-PAINT-SHOP,5157.43,4229.09,0,1673.74,399.17,166.1,SHIFT-C,0.23,STANDBY,30.68,16,0,2186.14,2236.29,2268.59,3439.88
2025-10-27 17:00:00,ZONE-PAINT-SHOP,3290.87,2698.52,4,1875.58,545.14,79.5,SHIFT-C,1.0,OPERATIONAL,30.68,17,0,5157.43,2186.14,2236.29,3663.23
2025-10-27 18:00:00,ZONE-PAINT-SHOP,2497.37,2047.84,9,766.95,334.81,78.4,SHIFT-C,1.0,OPERATIONAL,30.68,18,0,3290.87,5157.43,2186.14,3280.74
2025-10-27 19:00:00,ZONE-PAINT-SHOP,3965.64,3251.82,4,1467.65,589.94,68.8,SHIFT-C,1.0,OPERATIONAL,30.68,19,0,2497.37,3290.87,5157.43,2268.59
2025-10-27 20:00:00,ZONE-PAINT-SHOP,2733.51,2241.48,0,367.55,523.92,132.7,SHIFT-C,0.44,STANDBY,30.68,20,0,3965.64,2497.37,3290.87,2236.29
2025-10-27 21:00:00,ZONE-PAINT-SHOP,2812.56,2306.3,8,917.32,538.34,132.1,SHIFT-C,1.0,OPERATIONAL,30.68,21,0,2733.51,3965.64,2497.37,2186.14
2025-10-27 22:00:00,ZONE-PAINT-SHOP,4004.47,3283.66,0,854.26,427.46,164.0,SHIFT-C,0.3,STANDBY,30.68,22,0,2812.56,2733.51,3965.64,5157.43
2025-10-27 23:00:00,ZONE-PAINT-SHOP,3341.2,2739.79,8,1062.21,429.74,173.9,SHIFT-C,1.0,OPERATIONAL,30.68,23,0,4004.47,2812.56,2733.51,3290.87
2025-10-28 00:00:00,ZONE-PAINT-SHOP,2940.67,2411.35,18,1655.03,603.93,167.8,SHIFT-A,1.0,OPERATIONAL,30.68,0,1,3341.2,4004.47,2812.56,2497.37
2025-10-28 01:00:00,ZONE-PAINT-SHOP,3918.34,3213.04,23,1657.64,392.9,178.3,SHIFT-A,1.0,OPERATIONAL,30.68,1,1,2940.67,3341.2,4004.47,3965.64
2025-10-28 02:00:00,ZONE-PAINT-SHOP,2450.7,2009.57,23,1884.93,373.9,71.2,SHIFT-A,1.0,OPERATIONAL,30.68,2,1,3918.34,2940.67,3341.2,2733.51
2025-10-28 03:00:00,ZONE-PAINT-SHOP,2835.32,2324.97,15,1643.08,253.31,116.5,SHIFT-A,1.0,OPERATIONAL,30.68,3,1,2450.7,3918.34,2940.67,2812.56
2025-10-28 04:00:00,ZONE-PAINT-SHOP,2278.75,1868.57,29,1912.96,456.47,177.9,SHIFT-A,1.0,OPERATIONAL,30.68,4,1,2835.32,2450.7,3918.34,4004.47
2025-10-28 05:00:00,ZONE-PAINT-SHOP,2682.49,2199.64,17,1018.69,531.26,135.7,SHIFT-A,1.0,OPERATIONAL,30.68,5,1,2278.75,2835.32,2450.7,3341.2
2025-10-28 06:00:00,ZONE-PAINT-SHOP,2437.1,1998.42,25,1258.3,666.56,150.9,SHIFT-A,1.0,OPERATIONAL,30.68,6,1,2682.49,2278.75,2835.32,2940.67
2025-10-28 07:00:00,ZONE-PAINT-SHOP,2343.29,1921.5,24,1097.13,275.54,145.3,SHIFT-A,1.0,OPERATIONAL,30.68,7,1,2437.1,2682.49,2278.75,3918.34
2025-10-28 08:00:00,ZONE-PAINT-SHOP,2235.57,1833.17,17,527.01,535.22,146.7,SHIFT-B,1.0,OPERATIONAL,30.68,8,1,2343.29,2437.1,2682.49,2450.7
2025-10-28 09:00:00,ZONE-PAINT-SHOP,3824.33,3135.95,15,1900.15,721.01,62.3,SHIFT-B,1.0,OPERATIONAL,30.68,9,1,2235.57,2343.29,2437.1,2835.32
2025-10-28 10:00:00,ZONE-PAINT-SHOP,3804.88,3120.0,29,788.62,294.23,158.8,SHIFT-B,1.0,OPERATIONAL,30.68,10,1,3824.33,2235.57,2343.29,2278.75
2025-10-28 11:00:00,ZONE-PAINT-SHOP,2259.0,1852.38,16,710.19,463.94,130.1,SHIFT-B,1.0,OPERATIONAL,30.68,11,1,3804.88,3824.33,2235.57,2682.49
2025-10-28 12:00:00,ZONE-PAINT-SHOP,2374.29,1946.92,25,1859.9,307.44,126.5,SHIFT-B,1.0,OPERATIONAL,30.68,12,1,2259.0,3804.88,3824.33,2437.1
2025-10-28 13:00:00,ZONE-PAINT-SHOP,3663.79,3004.31,24,1104.42,361.11,117.5,SHIFT-B,1.0,OPERATIONAL,30.68,13,1,2374.29,2259.0,3804.88,2343.29
2025-10-28 14:00:00,ZONE-PAINT-SHOP,3553.6,2913.95,19,1214.4,257.53,148.0,SHIFT-B,1.0,OPERATIONAL,30.68,14,1,3663.79,2374.29,2259.0,2235.57
2025-10-28 15:00:00,ZONE-PAINT-SHOP,3291.8,2699.27,17,1566.31,232.03,139.6,SHIFT-B,1.0,OPERATIONAL,30.68,15,1,3553.6,3663.79,2374.29,3824.33
2025-10-28 16:00:00,ZONE-PAINT-SHOP,4337.35,3556.62,0,917.47,589.32,113.9,SHIFT-C,0.28,STANDBY,30.68,16,1,3291.8,3553.6,3663.79,3804.88
2025-10-28 17:00:00,ZONE-PAINT-SHOP,2052.94,1683.41,0,590.89,567.73,158.7,SHIFT-C,0.58,STANDBY,30.68,17,1,4337.35,3291.8,3553.6,2259.0
2025-10-28 18:00:00,ZONE-PAINT-SHOP,4939.18,4050.12,0,1050.19,711.51,171.0,SHIFT-C,0.24,STANDBY,30.68,18,1,2052.94,4337.35,3291.8,2374.29
2025-10-28 19:00:00,ZONE-PAINT-SHOP,2009.0,1647.38,8,556.69,222.84,87.8,SHIFT-C,1.0,OPERATIONAL,30.68,19,1,4939.18,2052.94,4337.35,3663.79
2025-10-28 20:00:00,ZONE-PAINT-SHOP,3759.05,3082.43,0,1076.12,504.0,157.6,SHIFT-C,0.32,STANDBY,30.68,20,1,2009.0,4939.18,2052.94,3553.6
2025-10-28 21:00:00,ZONE-PAINT-SHOP,3565.05,2923.34,0,906.16,447.47,153.9,SHIFT-C,0.34,STANDBY,30.68,21,1,3759.05,2009.0,4939.18,3291.8
2025-10-28 22:00:00,ZONE-PAINT-SHOP,2836.24,2325.72,0,862.51,620.61,82.7,SHIFT-C,0.42,STANDBY,30.68,22,1,3565.05,3759.05,2009.0,4337.35
2025-10-28 23:00:00,ZONE-PAINT-SHOP,2016.54,1653.56,9,1952.52,383.14,99.4,SHIFT-C,1.0,OPERATIONAL,30.68,23,1,2836.24,3565.05,3759.05,2052.94
2025-10-29 00:00:00,ZONE-PAINT-SHOP,2272.73,1863.64,20,1617.75,764.36,152.7,SHIFT-A,1.0,OPERATIONAL,30.68,0,2,2016.54,2836.24,3565.05,4939.18
2025-10-29 01:00:00,ZONE-PAINT-SHOP,2579.72,2115.37,19,1551.73,588.02,125.3,SHIFT-A,1.0,OPERATIONAL,30.68,1,2,2272.73,2016.54,2836.24,2009.0
2025-10-29 02:00:00,ZONE-PAINT-SHOP,2767.51,2269.36,30,1610.65,600.1,146.9,SHIFT-A,1.0,OPERATIONAL,30.68,2,2,2579.72,2272.73,2016.54,3759.05
2025-10-29 03:00:00,ZONE-PAINT-SHOP,2001.86,1641.52,28,714.28,545.06,170.8,SHIFT-A,1.0,OPERATIONAL,30.68,3,2,2767.51,2579.72,2272.73,3565.05
2025-10-29 04:00:00,ZONE-PAINT-SHOP,2494.06,2045.13,26,547.22,310.18,127.7,SHIFT-A,1.0,OPERATIONAL,30.68,4,2,2001.86,2767.51,2579.72,2836.24
2025-10-29 05:00:00,ZONE-PAINT-SHOP,3238.39,2655.48,25,838.88,667.59,165.2,SHIFT-A,1.0,OPERATIONAL,30.68,5,2,2494.06,2001.86,2767.51,2016.54
2025-10-29 06:00:00,ZONE-PAINT-SHOP,2771.64,2272.75,25,1363.35,406.57,127.0,SHIFT-A,1.0,OPERATIONAL,30.68,6,2,3238.39,2494.06,2001.86,2272.73
2025-10-29 07:00:00,ZONE-PAINT-SHOP,3281.13,2690.53,26,1161.21,407.85,127.2,SHIFT-A,1.0,OPERATIONAL,30.68,7,2,2771.64,3238.39,2494.06,2579.72
2025-10-29 08:00:00,ZONE-PAINT-SHOP,2870.3,2353.65,21,582.92,293.97,116.7,SHIFT-B,1.0,OPERATIONAL,30.68,8,2,3281.13,2771.64,3238.39,2767.51
2025-10-29 09:00:00,ZONE-PAINT-SHOP,2869.25,2352.78,19,1801.14,571.54,166.0,SHIFT-B,1.0,OPERATIONAL,30.68,9,2,2870.3,3281.13,2771.64,2001.86
2025-10-29 10:00:00,ZONE-PAINT-SHOP,3345.66,2743.44,28,1998.13,425.02,165.9,SHIFT-B,1.0,OPERATIONAL,30.68,10,2,2869.25,2870.3,3281.13,2494.06
2025-10-29 11:00:00,ZONE-PAINT-SHOP,3359.04,2754.41,29,977.22,426.03,97.1,SHIFT-B,1.0,OPERATIONAL,30.68,11,2,3345.66,2869.25,2870.3,3238.39
2025-10-29 12:00:00,ZONE-PAINT-SHOP,3398.49,2786.76,21,1362.95,622.62,95.7,SHIFT-B,1.0,OPERATIONAL,30.68,12,2,3359.04,3345.66,2869.25,2771.64
2025-10-29 13:00:00,ZONE-PAINT-SHOP,3006.8,2465.58,27,1371.01,674.56,91.9,SHIFT-B,1.0,OPERATIONAL,30.68,13,2,3398.49,3359.04,3345.66,3281.13
2025-10-29 14:00:00,ZONE-PAINT-SHOP,3102.49,2544.04,20,974.76,594.98,134.3,SHIFT-B,1.0,OPERATIONAL,30.68,14,2,3006.8,3398.49,3359.04,2870.3
2025-10-29 15:00:00,ZONE-PAINT-SHOP,2567.01,2104.94,25,1188.25,410.37,128.6,SHIFT-B,1.0,OPERATIONAL,30.68,15,2,3102.49,3006.8,3398.49,2869.25
2025-10-29 16:00:00,ZONE-PAINT-SHOP,3414.56,2799.94,0,807.62,750.65,163.7,SHIFT-C,0.35,STANDBY,30.68,16,2,2567.01,3102.49,3006.8,3345.66
2025-10-29 17:00:00,ZONE-PAINT-SHOP,3687.46,3023.72,4,1381.22,267.59,74.1,SHIFT-C,1.0,OPERATIONAL,30.68,17,2,3414.56,2567.01,3102.49,3359.04
2025-10-29 18:00:00,ZONE-PAINT-SHOP,3464.32,2840.75,0,278.59,482.18,87.6,SHIFT-C,0.35,STANDBY,30.68,18,2,3687.46,3414.56,2567.01,3398.49
2025-10-29 19:00:00,ZONE-PAINT-SHOP,3484.35,2857.17,3,1291.78,658.04,75.7,SHIFT-C,1.0,OPERATIONAL,30.68,19,2,3464.32,3687.46,3414.56,3006.8
2025-10-29 20:00:00,ZONE-PAINT-SHOP,4695.22,3850.08,0,617.89,728.8,173.1,SHIFT-C,0.26,STANDBY,30.68,20,2,3484.35,3464.32,3687.46,3102.49
2025-10-29 21:00:00,ZONE-PAINT-SHOP,2567.74,2105.54,8,1876.61,458.67,113.4,SHIFT-C,1.0,OPERATIONAL,30.68,21,2,4695.22,3484.35,3464.32,2567.01
